"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\user\Desktop\rug\.agent-preference.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\user\Desktop\rug\.github\copilot-instructions.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\user\Desktop\rug\README.md", "Markdown", 0, 0, 31, 0, 0, 0, 0, 0, 0, 12, 43
"c:\Users\user\Desktop\rug\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 13, 80
"c:\Users\user\Desktop\rug\app\api\og\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 344, 0, 20, 26, 390
"c:\Users\user\Desktop\rug\app\api\recent\route.ts", "TypeScript", 0, 0, 0, 100, 0, 0, 0, 0, 10, 17, 127
"c:\Users\user\Desktop\rug\app\api\scan\route.ts", "TypeScript", 0, 0, 0, 207, 0, 0, 0, 0, 16, 32, 255
"c:\Users\user\Desktop\rug\app\api\stats\route.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\user\Desktop\rug\app\api\telegram\route.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 3, 6, 43
"c:\Users\user\Desktop\rug\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 318, 14, 35, 367
"c:\Users\user\Desktop\rug\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 5, 63
"c:\Users\user\Desktop\rug\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 9, 12, 102
"c:\Users\user\Desktop\rug\app\scan\[address]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 6, 46
"c:\Users\user\Desktop\rug\app\scan\[address]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 562, 0, 40, 63, 665
"c:\Users\user\Desktop\rug\components.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\user\Desktop\rug\components\Checklist.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 3, 20, 166
"c:\Users\user\Desktop\rug\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 4, 5, 83
"c:\Users\user\Desktop\rug\components\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 9, 10, 127
"c:\Users\user\Desktop\rug\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 4, 7, 89
